Vial ID,Storage container ID,Well coordinate,# of individuals,Recorded by,Original processing date,Identification,...8,...9,...10,...11,Fulcrum - Sorting App,...13,...14,Pinning,...16,...17,Fulcrum - Pinning App,...19,...20
JORN_001.W.20220510.CARSP14.01,D14.2022.CARSP14.JORN.01,A1,1,Kmatthiesen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JORN_002.S.20220510.CARSP14.01,D14.2022.CARSP14.JORN.01,A2,1,Kmatthiesen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JORN_004.E.20220510.CARSP14.01,D14.2022.CARSP14.JORN.01,A3,5,Kmatthiesen,NA,Cymindis punctigera punctigera,20221017,E.Martin,"Hunter, 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JORN_004.W.20220510.CARSP14.01,D14.2022.CARSP14.JORN.01,A4,1,Kmatthiesen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JORN_005.E.20220510.CARSP14.01,D14.2022.CARSP14.JORN.01,A5,2,Kmatthiesen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JORN_005.S.20220510.CARSP14.01,D14.2022.CARSP14.JORN.01,B1,1,Kmatthiesen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JORN_006.W.20220510.CARSP14.01,D14.2022.CARSP14.JORN.01,B2,2,Kmatthiesen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JORN_007.E.20220510.CARSP14.01,D14.2022.CARSP14.JORN.01,B3,3,Kmatthiesen,NA,Cymindis punctigera punctigera,20221017,E.Martin,"Hunter, 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JORN_007.S.20220510.CARSP14.01,D14.2022.CARSP14.JORN.01,B4,1,Kmatthiesen,NA,Cymindis punctigera punctigera,20221017,E.Martin,"Hunter, 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JORN_009.E.20220510.CARSP14.01,D14.2022.CARSP14.JORN.01,B5,1,Kmatthiesen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JORN_010.E.20220510.CARSP14.01,D14.2022.CARSP14.JORN.01,C1,1,Kmatthiesen,NA,Cymindis punctigera punctigera,20221017,E.Martin,"Hunter, 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JORN_010.S.20220510.CARSP14.01,D14.2022.CARSP14.JORN.01,C2,2,Kmatthiesen,NA,Cymindis punctigera punctigera,20221017,E.Martin,"Hunter, 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JORN_001.S.20220524.CARSP14.01,D14.2022.CARSP14.JORN.01,C3,1,Kmatthiesen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JORN_002.S.20220524.CARSP14.01,D14.2022.CARSP14.JORN.01,C4,2,Kmatthiesen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
