Vial ID,Storage container ID,Well coordinate,# of individuals,Recorded by,Original processing date,Identification,...8,...9,...10,...11,Fulcrum - Sorting App,...13,...14,Pinning,...16,...17,Fulcrum - Pinning App,...19,...20,local,range,Elevation,lat,long,trap...26,date,manager,trap...29
SRER_001.E.20220531.CARSP14.01,D14.2022.CARSP14.SRER.03,B1,1,Kmatthiesen,NA,Discoderus robustus,20221115,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_001.W.20220531.CARSP14.01,D14.2022.CARSP14.SRER.03,B2,2,Kmatthiesen,NA,Apristus tuckeri,20221122,E.Martin,"Casey, 1914",NA,20221129,E.Martin,res not in fulcrum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_001.W.20220531.CARSP14.02,D14.2022.CARSP14.SRER.03,B3,1,Kmatthiesen,NA,Discoderus robustus,20221115,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_002.E.20220531.CARSP14.01,D14.2022.CARSP14.SRER.03,B4,3,Kmatthiesen,NA,Discoderus robustus,20221115,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_002.S.20220531.CARSP14.01,D14.2022.CARSP14.SRER.03,B5,1,Kmatthiesen,NA,Discoderus robustus,20221115,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_002.W.20220531.CARSP14.01,D14.2022.CARSP14.SRER.03,C1,5,Kmatthiesen,NA,Discoderus robustus,20221115,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_003.S.20220531.CARSP14.01,D14.2022.CARSP14.SRER.03,C2,1,Kmatthiesen,NA,Discoderus robustus,20221115,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_005.S.20220531.CARSP14.01,D14.2022.CARSP14.SRER.03,C3,1,Kmatthiesen,NA,Discoderus robustus,20221115,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_006.E.20220531.CARSP14.01,D14.2022.CARSP14.SRER.03,C4,1,Kmatthiesen,NA,Tetragonoderus intersectus,20221115,E.Martin,"Lindroth, 1969",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_006.E.20220531.CARSP14.02,D14.2022.CARSP14.SRER.03,C5,1,Kmatthiesen,NA,Discoderus robustus,20221115,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_006.S.20220531.CARSP14.01,D14.2022.CARSP14.SRER.03,D1,1,Kmatthiesen,NA,Amara sp.,20221122,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,Want sp. ID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_007.E.20220531.CARSP14.01,D14.2022.CARSP14.SRER.03,D2,1,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_007.S.20220531.CARSP14.01,D14.2022.CARSP14.SRER.03,D3,4,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_008.E.20220531.CARSP14.02,D14.2022.CARSP14.SRER.03,D4,2,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_008.S.20220531.CARSP14.01,D14.2022.CARSP14.SRER.03,D5,2,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_008.W.20220531.CARSP14.01,D14.2022.CARSP14.SRER.03,E1,1,Kmatthiesen,NA,Discoderus robustus,20221122,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_009.W.20220531.CARSP14.01,D14.2022.CARSP14.SRER.03,E2,2,Kmatthiesen,NA,Discoderus robustus,20221115,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,1 prob  not a carab in T08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_001.W.20220614.CARSP14.01,D14.2022.CARSP14.SRER.03,E3,1,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_002.E.20220614.CARSP14.01,D14.2022.CARSP14.SRER.03,E4,2,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_002.W.20220614.CARSP14.01,D14.2022.CARSP14.SRER.03,E5,1,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_004.E.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,A1,1,Kmatthiesen,NA,Apristus tuckeri,20221116,E.Martin,"Casey, 1914",NA,20221129,E.Martin,Sel. in T08. res not in fulcrum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_005.E.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,A2,1,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_005.S.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,A3,1,Kmatthiesen,NA,Apristus tuckeri,20221116,E.Martin,"Casey, 1914",NA,20221129,E.Martin,res not in fulcrum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_005.W.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,A4,1,Kmatthiesen,NA,Apristus tuckeri,20221116,E.Martin,"Casey, 1914",NA,20221129,E.Martin,res not in fulcrum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_006.E.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,A5,1,Kmatthiesen,NA,Selenophorus sp.,20221128,R. Leal,"Arnett and Thomas, 2001",NA,NA,NA,Wait for sp. ID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_006.E.20220614.CARSP14.02,D14.2022.CARSP14.SRER.04,B1,1,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_007.E.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,B2,1,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_007.W.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,B3,3,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_008.E.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,B4,2,Kmatthiesen,NA,Discoderus robustus,20221115,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_008.S.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,B5,6,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_008.W.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,C1,2,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_009.E.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,C2,1,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_009.W.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,C3,2,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_009.W.20220614.CARSP14.02,D14.2022.CARSP14.SRER.04,C4,3,Kmatthiesen,NA,Tetragonoderus intersectus,20221115,E.Martin,"Lindroth, 1969",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_010.W.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,C5,1,Kmatthiesen,NA,Selenophorus sp. (likely S. planipennis),NA,NA,NA,[Det. Seleno. 20221117] Small individual--doesn't fully have the Selenophorus shape. Annoyed by the Parascutellar striae split in the key as Disco's also have this. But still leaning more towards Seleno.,NA,NA,Wait for sp. ID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
