uid,namedLocation,domainID,siteID,plotID,trapID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,eventID,trappingDays,sampleCollected,sampleID,sampleCode,sampleCondition,cupStatus,lidStatus,fluidLevel,samplingProtocolVersion,samplingImpractical,recordedBy,remarks,publicationDate,release
5ce62c00-26a9-45ba-84a3-4019881a8c1d,JORN_001.basePlot.bet,D14,JORN,JORN_001,E,distributed,shrubScrub,32.60493,-106.802046,WGS84,20.1,1323.4,0.1,2019-04-30T00:00:00Z,2019-05-14T00:00:00Z,JORN.2019.20,14,Y,JORN_001.E.20190514,A00000094776,NA,Ok,Ok,Ok,NEON.DOC.014050vM,NA,0000-0002-1848-3114,NA,20210517T173808Z,PROVISIONAL
3bd57a79-536a-45e8-8ee1-90f04033bc97,JORN_010.basePlot.bet,D14,JORN,JORN_010,S,distributed,shrubScrub,32.628336,-106.847936,WGS84,20.1,1331.7,0.2,2019-04-30T00:00:00Z,2019-05-14T00:00:00Z,JORN.2019.20,14,Y,JORN_010.S.20190514,A00000094681,NA,Ok,Ok,Ok,NEON.DOC.014050vM,NA,0000-0002-6067-4555,NA,20210517T173808Z,PROVISIONAL
1bde6122-b339-4a11-9327-e03078bb3fb3,JORN_006.basePlot.bet,D14,JORN,JORN_006,W,distributed,shrubScrub,32.590562,-106.82446,WGS84,20.1,1323.2,0.1,2019-04-30T00:00:00Z,2019-05-14T00:00:00Z,JORN.2019.20,14,Y,JORN_006.W.20190514,A00000094679,NA,Ok,Ok,Ok,NEON.DOC.014050vM,NA,0000-0002-1848-3114,NA,20210517T173808Z,PROVISIONAL
0d90bfa7-afba-4ee6-bb55-4dd448106d85,JORN_003.basePlot.bet,D14,JORN,JORN_003,E,distributed,shrubScrub,32.600614,-106.838099,WGS84,20.1,1321.1,0.1,2019-04-30T00:00:00Z,2019-05-14T00:00:00Z,JORN.2019.20,14,Y,JORN_003.E.20190514,A00000094767,NA,Ok,Ok,Ok,NEON.DOC.014050vM,NA,0000-0002-1848-3114,NA,20210517T173808Z,PROVISIONAL
640b0c51-180e-4fe4-b9d0-9e4645a1c292,JORN_003.basePlot.bet,D14,JORN,JORN_003,S,distributed,shrubScrub,32.600614,-106.838099,WGS84,20.1,1321.1,0.1,2019-04-30T00:00:00Z,2019-05-14T00:00:00Z,JORN.2019.20,14,Y,JORN_003.S.20190514,A00000094766,NA,Ok,Disturbed,Ok,NEON.DOC.014050vM,NA,0000-0002-1848-3114,Corner slightly buried by digging animal,20210517T173808Z,PROVISIONAL
1d6f0a6b-8f8e-46ca-95a2-9cbb412ce34c,JORN_004.basePlot.bet,D14,JORN,JORN_004,E,distributed,shrubScrub,32.630328,-106.86076,WGS84,20.1,1331.6,0.1,2019-04-30T00:00:00Z,2019-05-14T00:00:00Z,JORN.2019.20,14,Y,JORN_004.E.20190514,A00000094674,NA,Ok,Ok,Ok,NEON.DOC.014050vM,NA,0000-0002-6067-4555,NA,20210517T173808Z,PROVISIONAL
b9ed7524-9f3e-4aa9-bcc7-36ceb2c23dad,JORN_006.basePlot.bet,D14,JORN,JORN_006,S,distributed,shrubScrub,32.590562,-106.82446,WGS84,20.1,1323.2,0.1,2019-04-30T00:00:00Z,2019-05-14T00:00:00Z,JORN.2019.20,14,Y,JORN_006.S.20190514,A00000094678,NA,Ok,Ok,Ok,NEON.DOC.014050vM,NA,0000-0002-1848-3114,NA,20210517T173808Z,PROVISIONAL
0da7853f-9777-4b1f-bff8-9505d85594a9,JORN_002.basePlot.bet,D14,JORN,JORN_002,E,distributed,shrubScrub,32.611356,-106.826155,WGS84,20.1,1328.2,0.2,2019-04-30T00:00:00Z,2019-05-14T00:00:00Z,JORN.2019.20,14,Y,JORN_002.E.20190514,A00000094773,NA,Ok,Ok,Ok,NEON.DOC.014050vM,NA,0000-0002-6067-4555,NA,20210517T173808Z,PROVISIONAL
9a1561e5-11ff-42d2-bc5c-b492c1845c68,JORN_006.basePlot.bet,D14,JORN,JORN_006,E,distributed,shrubScrub,32.590562,-106.82446,WGS84,20.1,1323.2,0.1,2019-04-30T00:00:00Z,2019-05-14T00:00:00Z,JORN.2019.20,14,Y,JORN_006.E.20190514,A00000094677,NA,Ok,Ok,Ok,NEON.DOC.014050vM,NA,0000-0002-1848-3114,NA,20210517T173808Z,PROVISIONAL
36f4998c-453a-4134-a0eb-e79351939ee0,JORN_007.basePlot.bet,D14,JORN,JORN_007,W,distributed,shrubScrub,32.607919,-106.856765,WGS84,20.1,1323.5,0.1,2019-04-30T00:00:00Z,2019-05-14T00:00:00Z,JORN.2019.20,14,Y,JORN_007.W.20190514,A00000094768,NA,Ok,Ok,Ok,NEON.DOC.014050vM,NA,0000-0002-6067-4555,NA,20210517T173808Z,PROVISIONAL
96e93800-7c88-4793-ab93-cbdba88a71e7,JORN_009.basePlot.bet,D14,JORN,JORN_009,E,distributed,shrubScrub,32.611448,-106.83769,WGS84,20.1,1326.7,0.1,2019-04-30T00:00:00Z,2019-05-14T00:00:00Z,JORN.2019.20,14,Y,JORN_009.E.20190514,NA,NA,Ok,Ok,Ok,NEON.DOC.014050vM,NA,0000-0002-6067-4555,NA,20210517T173808Z,PROVISIONAL
9742a48c-eeba-4e2b-9aa3-f09e510e037d,JORN_001.basePlot.bet,D14,JORN,JORN_001,S,distributed,shrubScrub,32.60493,-106.802046,WGS84,20.1,1323.4,0.1,2019-04-30T00:00:00Z,2019-05-14T00:00:00Z,JORN.2019.20,14,Y,JORN_001.S.20190514,A00000094775,NA,Ok,Ok,Ok,NEON.DOC.014050vM,NA,0000-0002-1848-3114,NA,20210517T173808Z,PROVISIONAL
164dd18b-b0b3-43b0-bef3-9c2bae05fe55,JORN_004.basePlot.bet,D14,JORN,JORN_004,S,distributed,shrubScrub,32.630328,-106.86076,WGS84,20.1,1331.6,0.1,2019-04-30T00:00:00Z,2019-05-14T00:00:00Z,JORN.2019.20,14,Y,JORN_004.S.20190514,A00000094675,NA,Ok,Ok,Ok,NEON.DOC.014050vM,NA,0000-0002-6067-4555,NA,20210517T173808Z,PROVISIONAL
b661621f-e69b-4d41-b94d-95b8b483da97,JORN_007.basePlot.bet,D14,JORN,JORN_007,S,distributed,shrubScrub,32.607919,-106.856765,WGS84,20.1,1323.5,0.1,2019-04-30T00:00:00Z,2019-05-14T00:00:00Z,JORN.2019.20,14,Y,JORN_007.S.20190514,A00000094770,NA,Ok,Ok,Ok,NEON.DOC.014050vM,NA,0000-0002-6067-4555,NA,20210517T173808Z,PROVISIONAL
a37494ad-5130-4104-98af-57c10ea13c14,JORN_001.basePlot.bet,D14,JORN,JORN_001,W,distributed,shrubScrub,32.60493,-106.802046,WGS84,20.1,1323.4,0.1,2019-04-30T00:00:00Z,2019-05-14T00:00:00Z,JORN.2019.20,14,Y,JORN_001.W.20190514,A00000094774,NA,Ok,Ok,Ok,NEON.DOC.014050vM,NA,0000-0002-1848-3114,NA,20210517T173808Z,PROVISIONAL
e08de752-5961-4a35-94b3-12cf95ca62b7,JORN_009.basePlot.bet,D14,JORN,JORN_009,W,distributed,shrubScrub,32.611448,-106.83769,WGS84,20.1,1326.7,0.1,2019-04-30T00:00:00Z,2019-05-14T00:00:00Z,JORN.2019.20,14,Y,JORN_009.W.20190514,NA,NA,Ok,Disturbed,Ok,NEON.DOC.014050vM,NA,0000-0002-6067-4555,Lid was lifted up.,20210517T173808Z,PROVISIONAL
ee58e0e8-0ec7-461f-9ccb-6b0210e92586,JORN_009.basePlot.bet,D14,JORN,JORN_009,S,distributed,shrubScrub,32.611448,-106.83769,WGS84,20.1,1326.7,0.1,2019-04-30T00:00:00Z,2019-05-14T00:00:00Z,JORN.2019.20,14,Y,JORN_009.S.20190514,NA,NA,Ok,Ok,Ok,NEON.DOC.014050vM,NA,0000-0002-6067-4555,NA,20210517T173808Z,PROVISIONAL
af94f7b4-6d4a-4efe-8554-5d7d3ebd3bda,JORN_008.basePlot.bet,D14,JORN,JORN_008,W,distributed,shrubScrub,32.593905,-106.797359,WGS84,20.1,1320,0.1,2019-04-30T00:00:00Z,2019-05-14T00:00:00Z,JORN.2019.20,14,Y,JORN_008.W.20190514,A00000094762,NA,Ok,Ok,Ok,NEON.DOC.014050vM,NA,0000-0002-1848-3114,NA,20210517T173808Z,PROVISIONAL
46bd03b5-70e8-4093-95a9-08990f436af2,JORN_008.basePlot.bet,D14,JORN,JORN_008,E,distributed,shrubScrub,32.593905,-106.797359,WGS84,20.1,1320,0.1,2019-04-30T00:00:00Z,2019-05-14T00:00:00Z,JORN.2019.20,14,Y,JORN_008.E.20190514,A00000094764,NA,Ok,Ok,Ok,NEON.DOC.014050vM,NA,0000-0002-1848-3114,NA,20210517T173808Z,PROVISIONAL
a1d2d7f4-71b6-470c-8b41-07e59c721253,JORN_008.basePlot.bet,D14,JORN,JORN_008,S,distributed,shrubScrub,32.593905,-106.797359,WGS84,20.1,1320,0.1,2019-04-30T00:00:00Z,2019-05-14T00:00:00Z,JORN.2019.20,14,Y,JORN_008.S.20190514,A00000094763,NA,Ok,Ok,Ok,NEON.DOC.014050vM,NA,0000-0002-1848-3114,NA,20210517T173808Z,PROVISIONAL
59bf9688-a6fc-44ec-9f57-126e8dcd1980,JORN_010.basePlot.bet,D14,JORN,JORN_010,E,distributed,shrubScrub,32.628336,-106.847936,WGS84,20.1,1331.7,0.2,2019-04-30T00:00:00Z,2019-05-14T00:00:00Z,JORN.2019.20,14,Y,JORN_010.E.20190514,A00000094680,NA,Ok,Ok,Ok,NEON.DOC.014050vM,NA,0000-0002-6067-4555,NA,20210517T173808Z,PROVISIONAL
2ccc66c8-b7e2-499b-bd9e-003349e4ae32,JORN_010.basePlot.bet,D14,JORN,JORN_010,W,distributed,shrubScrub,32.628336,-106.847936,WGS84,20.1,1331.7,0.2,2019-04-30T00:00:00Z,2019-05-14T00:00:00Z,JORN.2019.20,14,Y,JORN_010.W.20190514,A00000094672,NA,Ok,Ok,Ok,NEON.DOC.014050vM,NA,0000-0002-6067-4555,NA,20210517T173808Z,PROVISIONAL
50da1570-b0d3-4640-a0e3-5289cc3fdb48,JORN_002.basePlot.bet,D14,JORN,JORN_002,W,distributed,shrubScrub,32.611356,-106.826155,WGS84,20.1,1328.2,0.2,2019-04-30T00:00:00Z,2019-05-14T00:00:00Z,JORN.2019.20,14,Y,JORN_002.W.20190514,A00000094771,NA,Ok,Ok,Ok,NEON.DOC.014050vM,NA,0000-0002-6067-4555,NA,20210517T173808Z,PROVISIONAL
d875f881-0a81-4c54-8980-2092d6ac92ca,JORN_002.basePlot.bet,D14,JORN,JORN_002,S,distributed,shrubScrub,32.611356,-106.826155,WGS84,20.1,1328.2,0.2,2019-04-30T00:00:00Z,2019-05-14T00:00:00Z,JORN.2019.20,14,Y,JORN_002.S.20190514,A00000094772,NA,Ok,Disturbed,Ok,NEON.DOC.014050vM,NA,0000-0002-6067-4555,NA,20210517T173808Z,PROVISIONAL
0f7c1b06-f415-442d-b531-220041bd7de1,JORN_005.basePlot.bet,D14,JORN,JORN_005,W,distributed,shrubScrub,32.575696,-106.803388,WGS84,20.1,1323.5,0.1,2019-04-30T00:00:00Z,2019-05-14T00:00:00Z,JORN.2019.20,14,Y,JORN_005.W.20190514,A00000094759,NA,Ok,Ok,Ok,NEON.DOC.014050vM,NA,0000-0002-1848-3114,NA,20210517T173808Z,PROVISIONAL
89387f5f-e7fe-4910-9c7f-2494bd3ae880,JORN_003.basePlot.bet,D14,JORN,JORN_003,W,distributed,shrubScrub,32.600614,-106.838099,WGS84,20.1,1321.1,0.1,2019-04-30T00:00:00Z,2019-05-14T00:00:00Z,JORN.2019.20,14,Y,JORN_003.W.20190514,A00000094765,NA,Ok,Ok,Ok,NEON.DOC.014050vM,NA,0000-0002-1848-3114,NA,20210517T173808Z,PROVISIONAL
